id_pedido,id_cliente,id_producto,fecha_pedido,cantidad,monto,estatus,region
O00439,C0069,P005,2026-01-22,1,369.54,completado,Occidente
O00440,C0059,P002,2026-02-24,1,608.26,completado,Centro
O00441,C0051,P010,2025-12-21,2,291.36,pendiente,Norte
O00442,C0100,P009,2026-08-09,3,191.65,completado,Occidente
O00443,C0103,P012,2026-05-05,1,62.35,completado,Occidente
O00444,C0010,P001,2026-02-28,3,836.19,completado,Centro
O00445,C0099,P008,2026-07-01,3,196.73,completado,Norte
O00446,C0001,P010,2025-12-23,1,141.87,completado,Centro
O00447,C0113,P003,2026-04-03,3,125.27,completado,Norte
O00448,C0039,P012,2026-07-09,3,200.01,completado,Sur
O00449,C0018,P010,2025-11-25,1,135.33,completado,Occidente
O00450,C0043,P007,2026-02-09,3,188.17,completado,Centro
O00451,C0101,P008,2026-01-23,1,59.96,completado,Occidente
O00452,C0101,P008,2025-11-06,3,183.38,completado,Sur
O00453,C0073,P011,2025-12-29,1,61.17,completado,Centro
O00454,C0089,P001,2026-06-23,1,310.18,completado,Norte
O00455,C0003,P001,2026-02-02,3,865.06,completado,Sur
O00456,C0089,P010,2026-02-02,2,282.11,completado,Norte
O00457,C0029,P008,2026-06-18,1,59.44,completado,Norte
O00458,C0017,P008,2026-05-06,2,116.89,completado,Sur
O00459,C0066,P012,2026-07-17,1,60.24,completado,Occidente
O00460,C0048,P001,2026-04-04,1,281.27,completado,Centro
O00461,C0072,P006,2026-02-04,2,86.42,completado,Norte
O00462,C0006,P011,2025-12-15,2,111.51,completado,Sur
O00463,C0071,P011,2026-01-09,3,165.32,completado,Occidente
O00464,C0071,P003,2026-05-11,2,88.82,completado,Occidente
O00465,C0099,P012,2026-01-20,3,201.72,completado,Occidente
O00466,C0073,P004,2026-03-08,2,232.54,completado,Centro
O00467,C0027,P001,2026-03-02,3,931.88,pendiente,Sur
O00468,C0031,P002,2026-07-18,1,687.91,completado,Norte
O00469,C0095,P006,2026-07-14,2,84.72,completado,Centro
O00470,C0073,P009,2025-11-18,1,64.58,cancelado,Centro
O00471,C0044,P008,2026-06-21,1,65.49,completado,Sur
O00472,C0003,P008,2026-08-23,2,119.57,completado,Centro
O00473,C0095,P006,2026-02-18,2,87.76,completado,Sur
O00474,C0021,P001,2026-01-09,3,914.15,completado,Centro
O00475,C0015,P005,2025-11-30,1,408.11,completado,Occidente
O00476,C0101,P010,2026-08-20,3,386.47,pendiente,Sur
O00477,C0009,P003,2026-04-03,1,45.31,completado,Sur
O00478,C0111,P011,2026-02-18,2,119.28,completado,Occidente
O00479,C0014,P002,2026-05-26,1,623.86,cancelado,Sur
O00480,C0033,P001,2026-02-03,1,281.51,completado,Occidente
O00481,C0118,P010,2025-10-28,1,128.22,completado,Sur
O00482,C0008,P004,2026-01-02,1,110.68,completado,Norte
O00483,C0120,P006,2026-04-12,2,91.71,completado,Norte
O00484,C0068,P012,2026-07-28,3,184.78,completado,Sur
O00485,C0040,P002,2026-06-20,3,2074.43,pendiente,Occidente
O00486,C0116,P005,2026-06-15,1,388.18,completado,Norte
O00487,C0046,P006,2025-11-08,2,95.76,completado,Centro
O00488,C0111,P005,2025-12-06,3,1173.42,completado,Sur
O00489,C0072,P012,2025-10-31,3,186.49,completado,Sur
O00490,C0106,P006,2026-03-07,1,46.82,completado,Sur
O00491,C0118,P011,2026-02-06,2,121.4,completado,Occidente
O00492,C0016,P003,2025-11-13,2,84.75,completado,Norte
O00493,C0110,P009,2025-11-10,3,190.81,completado,Occidente
O00494,C0078,P001,2026-08-12,2,624.02,pendiente,Centro
O00495,C0069,P007,2026-04-15,2,124.88,completado,Occidente
O00496,C0071,P011,2026-05-21,1,53.99,completado,Sur
O00497,C0047,P012,2025-09-17,1,62.68,completado,Norte
O00498,C0023,P004,2026-06-04,3,358.85,completado,Norte
O00499,C0006,P011,2025-10-25,1,56.6,completado,Centro
O00500,C0003,P001,2026-04-04,3,924.01,completado,Norte
O00501,C0055,P012,2025-11-21,3,185.06,completado,Occidente
O00502,C0006,P010,2026-03-17,3,409.04,completado,Centro
O00503,C0034,P011,2025-09-20,2,110.55,completado,Occidente
O00504,C0114,P011,2025-11-15,1,58.36,completado,Occidente
O00505,C0080,P005,2025-12-09,2,800.48,completado,Centro
O00506,C0094,P001,2026-08-06,2,629.87,completado,Sur
O00507,C0099,P003,2025-10-24,2,82.39,completado,Occidente
O00508,C0082,P002,2026-02-04,2,1210.45,cancelado,Centro
O00509,C0043,P008,2026-06-10,2,124.52,cancelado,Occidente
O00510,C0029,P007,2025-09-07,2,119.4,completado,Occidente
O00511,C0003,P010,2026-03-20,1,139.26,completado,Sur
O00512,C0061,P011,2025-11-23,3,169.22,completado,Sur
O00513,C0039,P003,2026-06-25,3,125.54,completado,Occidente
O00514,C0117,P010,2026-05-06,2,256.97,completado,Occidente
O00515,C0115,P001,2026-08-03,2,551.62,cancelado,Norte
O00516,C0104,P011,2026-08-08,3,174.9,completado,Norte
O00517,C0045,P009,2026-02-03,1,66.26,completado,Sur
O00518,C0070,P011,2025-10-15,2,123.96,cancelado,Norte
O00519,C0035,P009,2025-11-03,3,188.64,completado,Centro
O00520,C0042,P005,2026-03-09,2,743.45,completado,Norte
O00521,C0109,P007,2026-04-12,3,185.29,completado,Sur
O00522,C0024,P009,2025-12-26,1,69.72,completado,Occidente
O00523,C0043,P010,2025-12-09,3,415.86,completado,Occidente
O00524,C0001,P002,2025-10-07,1,600.44,completado,Norte
O00525,C0109,P007,2026-02-11,1,59.31,cancelado,Centro
O00526,C0096,P012,2026-07-10,1,63.87,completado,Centro
O00527,C0025,P003,2026-05-27,1,39.73,completado,Sur
O00528,C0030,P011,2026-05-13,2,108.37,completado,Occidente
O00529,C0088,P012,2025-11-09,1,57.68,completado,Occidente
O00530,C0107,P010,2026-03-18,2,249.96,completado,Centro
O00531,C0031,P006,2026-07-09,1,41.67,completado,Centro
O00532,C0106,P006,2026-05-27,2,92.47,completado,Sur
O00533,C0052,P009,2026-07-14,1,70.51,completado,Centro
O00534,C0062,P001,2025-11-15,3,846.45,completado,Sur
O00535,C0028,P010,2026-02-13,1,128.45,completado,Occidente
O00536,C0077,P010,2025-10-26,3,379.3,completado,Norte
O00537,C0119,P011,2026-08-13,1,61.93,completado,Sur
O00538,C0071,P009,2026-04-08,2,127.24,completado,Norte
O00539,C0055,P005,2026-03-21,2,750.7,completado,Centro
O00540,C0102,P004,2026-08-03,2,208.65,completado,Norte
O00541,C0081,P007,2026-06-16,3,195.24,completado,Centro
O00542,C0075,P008,2026-04-02,3,180.02,completado,Sur
O00543,C0098,P012,2026-03-23,2,117.94,completado,Norte
O00544,C0054,P005,2026-08-22,1,409.46,completado,Centro
O00545,C0001,P002,2025-10-08,2,1364.52,completado,Sur
O00546,C0058,P006,2025-09-15,1,46.72,pendiente,Occidente
O00547,C0051,P001,2026-01-31,2,579.57,completado,Occidente
O00548,C0079,P011,2026-01-23,2,123.4,completado,Norte
O00549,C0006,P001,2025-12-28,3,929.32,pendiente,Norte
O00550,C0070,P012,2026-04-25,3,196.69,pendiente,Occidente
O00551,C0108,P006,2026-05-31,3,136.54,completado,Sur
O00552,C0058,P007,2026-06-01,3,177.94,cancelado,Occidente
O00553,C0040,P012,2025-11-11,3,176.14,pendiente,Sur
O00554,C0059,P004,2026-03-01,1,110.02,completado,Sur
O00555,C0005,P006,2026-04-29,2,93.58,completado,Centro
O00556,C0023,P003,2025-12-24,1,39.53,completado,Centro
O00557,C0113,P003,2026-05-20,3,123.3,completado,Centro
O00558,C0057,P005,2026-03-30,3,1141.77,completado,Centro
O00559,C0093,P001,2025-11-30,3,858.58,completado,Sur
O00560,C0031,P011,2026-03-14,2,123.98,completado,Norte
O00561,C0034,P007,2025-10-02,2,124.87,pendiente,Centro
O00562,C0076,P006,2026-03-11,1,45.68,cancelado,Norte
O00563,C0116,P001,2026-01-02,1,305.08,completado,Centro
O00564,C0063,P005,2026-01-24,1,417.0,completado,Centro
O00565,C0098,P006,2026-06-26,1,43.43,completado,Sur
O00566,C0035,P012,2026-05-14,3,181.5,completado,Sur
O00567,C0087,P011,2026-05-28,3,179.21,completado,Centro
O00568,C0031,P004,2026-03-10,3,346.67,pendiente,Sur
O00569,C0059,P007,2026-04-03,2,120.77,completado,Centro
O00570,C0002,P011,2025-09-12,2,110.08,pendiente,Norte
O00571,C0090,P005,2026-08-09,2,791.2,pendiente,Norte
O00572,C0037,P007,2026-04-03,1,65.85,completado,Norte
O00573,C0087,P007,2026-04-23,1,62.88,completado,Sur
O00574,C0042,P011,2026-03-31,1,55.73,completado,Occidente
O00575,C0009,P003,2025-11-08,3,121.41,completado,Sur
O00576,C0107,P012,2026-01-24,1,66.57,completado,Centro
O00577,C0072,P010,2026-08-19,3,403.69,completado,Sur
O00578,C0056,P004,2025-12-17,1,116.2,completado,Centro
O00579,C0070,P006,2025-11-12,1,44.18,completado,Norte
O00580,C0108,P008,2026-03-02,3,179.42,completado,Centro
O00581,C0004,P011,2025-12-06,3,182.12,completado,Sur
O00582,C0020,P003,2025-12-17,3,117.38,cancelado,Centro
O00583,C0005,P012,2026-01-06,1,61.33,completado,Occidente
O00584,C0007,P008,2026-07-30,1,64.49,cancelado,Occidente
O00585,C0001,P012,2026-08-01,2,126.82,completado,Norte
O00586,C0115,P011,2025-12-24,2,120.65,completado,Centro
O00587,C0028,P005,2025-11-13,2,854.73,completado,Norte
O00588,C0027,P008,2025-10-28,3,196.17,cancelado,Occidente
O00589,C0010,P004,2026-06-25,1,110.36,completado,Sur
O00590,C0086,P003,2025-09-15,1,43.77,completado,Sur
O00591,C0060,P008,2026-03-10,2,119.9,completado,Centro
O00592,C0057,P005,2026-04-19,1,376.08,completado,Sur
O00593,C0055,P009,2025-09-20,1,68.85,pendiente,Centro
O00594,C0038,P009,2026-04-30,2,134.11,completado,Norte
O00595,C0115,P002,2025-11-14,3,2005.09,completado,Occidente
O00596,C0002,P002,2026-03-09,2,1399.93,completado,Sur
O00597,C0049,P002,2026-01-05,2,1273.37,pendiente,Centro
O00598,C0007,P008,2026-06-23,3,186.66,completado,Norte
O00599,C0096,P004,2026-04-27,3,325.1,completado,Centro
O00600,C0007,P002,2026-07-27,1,630.7,completado,Occidente
O00601,C0102,P009,2025-11-01,3,197.35,completado,Centro
O00602,C0048,P009,2026-03-10,3,187.09,completado,Centro
O00603,C0092,P012,2026-04-01,1,58.61,completado,Norte
O00604,C0025,P008,2026-01-07,1,67.74,completado,Norte
O00605,C0025,P004,2025-10-23,2,228.31,completado,Centro
O00606,C0078,P006,2026-02-10,2,86.93,pendiente,Sur
O00607,C0028,P006,2025-11-11,1,48.12,pendiente,Sur
O00608,C0067,P007,2026-06-21,3,179.19,pendiente,Sur
O00609,C0092,P010,2025-12-17,2,275.08,completado,Sur
O00610,C0078,P004,2026-04-27,3,343.93,completado,Sur
O00611,C0012,P001,2025-12-14,2,628.72,completado,Occidente
O00612,C0017,P009,2026-07-17,2,122.62,completado,Centro
O00613,C0073,P003,2026-04-27,1,44.63,completado,Sur
O00614,C0084,P001,2025-12-15,3,937.38,completado,Norte
O00615,C0020,P002,2025-11-02,1,693.35,completado,Sur
O00616,C0085,P010,2026-05-24,1,143.22,completado,Norte
O00617,C0089,P010,2026-02-28,3,428.62,completado,Norte
O00618,C0089,P001,2026-04-03,3,926.72,completado,Sur
O00619,C0020,P002,2026-01-17,2,1265.01,completado,Sur
O00620,C0002,P010,2025-11-14,3,393.13,completado,Sur
